what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.php.debug.core,2.1.1.v20090921-1100,"org.eclipse.php.debug.core",1397199419401
started,bundle,org.eclipse.php.debug.ui,2.1.1.v20090921-1100,"org.eclipse.php.debug.ui",1397199419402
started,bundle,org.eclipse.php.ui,2.1.1.v20090921-1100,"org.eclipse.php.ui",1397199419403
started,bundle,org.eclipse.team.core,3.5.1.r35x_20100113-0800,"org.eclipse.team.core",1397199419404
started,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1397199419405
started,bundle,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui",1397199419406
started,bundle,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.ide",1397199419407
started,bundle,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"org.eclipse.ui.workbench",1397199419408
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.workbench.texteditor",1397199419409
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.1.v200911141735,"org.eclipse.wst.common.project.facet.core",1397199419409
started,bundle,org.eclipse.wst.sse.core,1.1.402.v201001251516,"org.eclipse.wst.sse.core",1397199419410
started,bundle,org.eclipse.wst.sse.ui,1.1.102.v200910200227,"org.eclipse.wst.sse.ui",1397199419410
started,bundle,org.eclipse.wst.web,1.1.301.v200911302230,"org.eclipse.wst.web",1397199419411
started,bundle,org.tigris.subversion.clientadapter,1.6.12,"org.tigris.subversion.clientadapter",1397199419411
started,bundle,org.tigris.subversion.subclipse.core,1.6.13,"org.tigris.subversion.subclipse.core",1397199419412
os,sysinfo,,,"win32",1397199419414
arch,sysinfo,,,"x86",1397199419414
ws,sysinfo,,,"win32",1397199419414
locale,sysinfo,,,"fr_CH",1397199419414
processors,sysinfo,,,"8",1397199419414
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1397199419414
java.runtime.version,sysinfo,,,"1.7.0_51-b13",1397199419414
java.specification.name,sysinfo,,,"Java Platform API Specification",1397199419414
java.specification.vendor,sysinfo,,,"Oracle Corporation",1397199419414
java.specification.version,sysinfo,,,"1.7",1397199419414
java.vendor,sysinfo,,,"Oracle Corporation",1397199419414
java.version,sysinfo,,,"1.7.0_51",1397199419414
java.vm.info,sysinfo,,,"mixed mode, sharing",1397199419414
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1397199419414
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1397199419414
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1397199419414
java.vm.specification.version,sysinfo,,,"1.7",1397199419414
java.vm.vendor,sysinfo,,,"Oracle Corporation",1397199419414
java.vm.version,sysinfo,,,"24.51-b03",1397199419414
